OBSYMD,DAMCD,RF,IQTY
19741212,1012110,1.6,4.9
19741213,1012110,1.1,5.8
19741214,1012110,0,5.7
19741215,1012110,0,5.8
19741216,1012110,0,3.9
19741217,1012110,1.4,7.4
19741218,1012110,0.4,8.6
19741219,1012110,0,6.8
19741220,1012110,0.2,6
19741221,1012110,0,2.8
19741222,1012110,0,4.9
19741223,1012110,0,6
19741224,1012110,0,2.5
19741225,1012110,0,4.7
19741226,1012110,0,6.6
19741227,1012110,0,3.7
19741228,1012110,0,4.6
19741229,1012110,0,3.9
19741230,1012110,0,4.1
19741231,1012110,0,5.3
19750101,1012110,0,3
19750102,1012110,0.6,7.3
19750103,1012110,0,7.2
19750104,1012110,0,5.7
19750105,1012110,0,2.8
19750106,1012110,0,1.6
19750107,1012110,0,4.9
19750108,1012110,0,3.7
19750109,1012110,0,4.6
19750110,1012110,0,5.2
19750111,1012110,0,2.2
19750112,1012110,0.5,3.3
19750113,1012110,0.7,3.5
19750114,1012110,0,4.4
19750115,1012110,0.1,1.1
19750116,1012110,0.3,2.1
19750117,1012110,0.4,4.8
19750118,1012110,0.2,1.4
19750119,1012110,0.3,1.6
19750120,1012110,0.7,3.3
19750121,1012110,0.9,1.7
19750122,1012110,0.9,1.1
19750123,1012110,2.3,0.4
19750124,1012110,2.2,1.4
19750125,1012110,3.2,4.1
19750126,1012110,1.4,2.5
19750127,1012110,0.4,1.7
19750128,1012110,3.8,6
19750129,1012110,0.3,3
19750130,1012110,0.3,3.7
19750131,1012110,2.8,6.9
19750201,1012110,0,3.3
19750202,1012110,0.9,4.3
19750203,1012110,0,6.4
19750204,1012110,0,8.4
19750205,1012110,0,5.6
19750206,1012110,0,7
19750207,1012110,0,4.5
19750208,1012110,0,2.5
19750209,1012110,0,4.4
19750210,1012110,0,3
19750211,1012110,0,3.1
19750212,1012110,0,4.2
19750213,1012110,0,2.9
19750214,1012110,0,2
19750215,1012110,0,3.2
19750216,1012110,0,3.5
19750217,1012110,0,2.4
19750218,1012110,0,3
19750219,1012110,0,4.9
19750220,1012110,0,4.3
19750221,1012110,0,2.9
19750222,1012110,0,4.5
19750223,1012110,0,6.1
19750224,1012110,0.2,3.9
19750225,1012110,0,3.6
19750226,1012110,0,1.2
19750227,1012110,0,3.6
19750228,1012110,1.2,4.4
19750301,1012110,0,4.4
19750302,1012110,0,5.3
19750303,1012110,0,4.4
19750304,1012110,0,4.7
19750305,1012110,2.8,1.9
19750306,1012110,1.5,6.1
19750307,1012110,0,5
19750308,1012110,0,4.7
19750309,1012110,9.9,9.7
19750310,1012110,1.8,9.9
19750311,1012110,3.1,9.6
19750312,1012110,0,11.2
19750313,1012110,0,7.8
19750314,1012110,0,6.6
19750315,1012110,0,7.7
19750316,1012110,1.5,8
19750317,1012110,0,11.8
19750318,1012110,0,13.8
19750319,1012110,3.5,13.3
19750320,1012110,7.7,13.7
19750321,1012110,0,20.8
19750322,1012110,0,28.5
19750323,1012110,0,25.8
19750324,1012110,0,25.1
19750325,1012110,0,20.8
19750326,1012110,0,20.5
19750327,1012110,0,18.1
19750328,1012110,0,15.3
19750329,1012110,9.6,10.2
19750330,1012110,0.3,21
19750331,1012110,0,21
19750401,1012110,0,25.4
19750402,1012110,0,16.9
19750403,1012110,0,16.9
19750404,1012110,0,16.2
19750405,1012110,14.2,31.8
19750406,1012110,0,74.4
19750407,1012110,0.4,84.5
19750408,1012110,12.7,81.6
19750409,1012110,0,97.6
19750410,1012110,0,75.5
19750411,1012110,0,54.1
19750412,1012110,0,52.1
19750413,1012110,0,49.1
19750414,1012110,0,46.6
19750415,1012110,0,44.8
19750416,1012110,0,41.4
19750417,1012110,0,40.5
19750418,1012110,0,34.8
19750419,1012110,0,38.8
19750420,1012110,7.2,37.7
19750421,1012110,1.1,38.2
19750422,1012110,0,70.1
19750423,1012110,0,49.8
19750424,1012110,0,48.5
19750425,1012110,0,42.2
19750426,1012110,39.9,55.9
19750427,1012110,0,263.7
19750428,1012110,0.9,145.9
19750429,1012110,0,109.2
19750430,1012110,0,72.4
19750501,1012110,0,67.1
19750502,1012110,8.3,55.1
19750503,1012110,7.3,56.9
19750504,1012110,1.6,58.9
19750505,1012110,1.3,75.9
19750506,1012110,0,117.5
19750507,1012110,0,103.7
19750508,1012110,0.7,82.6
19750509,1012110,3,69.9
19750510,1012110,0,61.8
19750511,1012110,0,44.3
19750512,1012110,0,42
19750513,1012110,16.2,44.9
19750514,1012110,0,45
19750515,1012110,0,38.4
19750516,1012110,0,36
19750517,1012110,0,27.2
19750518,1012110,0.1,25.7
19750519,1012110,6.6,36.7
19750520,1012110,0,44.3
19750521,1012110,0,36.5
19750522,1012110,0,33.2
19750523,1012110,0,25.7
19750524,1012110,0,22.9
19750525,1012110,1.8,23
19750526,1012110,0,25
19750527,1012110,0,15.8
19750528,1012110,0,13.8
19750529,1012110,0,14.6
19750530,1012110,4.2,17.3
19750531,1012110,2.6,45.4
19750601,1012110,0,31.3
19750602,1012110,1.7,28.5
19750603,1012110,1,21.8
19750604,1012110,0.8,23.1
19750605,1012110,1.4,18
19750606,1012110,0,15.6
19750607,1012110,0,16.9
19750608,1012110,5.4,25
19750609,1012110,13.1,60.5
19750610,1012110,0,46.5
19750611,1012110,0,37.5
19750612,1012110,0,10.7
19750613,1012110,1.5,30
19750614,1012110,0,22.4
19750615,1012110,0,19.4
19750616,1012110,0,18.2
19750617,1012110,11.6,19
19750618,1012110,0,17.6
19750619,1012110,0,21.9
19750620,1012110,0,13
19750621,1012110,0,9.8
19750622,1012110,0,15.2
19750623,1012110,7.2,13.2
19750624,1012110,13.6,22.3
19750625,1012110,13.9,63.8
19750626,1012110,7.2,92.2
19750627,1012110,0,71.3
19750628,1012110,0.4,66.7
19750629,1012110,3.3,78.2
19750630,1012110,0,70.2
19750701,1012110,5.9,69.1
19750702,1012110,0,51.6
19750703,1012110,0,40.8
19750704,1012110,0,35.8
19750705,1012110,16.8,34.6
19750706,1012110,35.3,44.2
19750707,1012110,9.9,370.8
19750708,1012110,0,213.3
19750709,1012110,0,122.4
19750710,1012110,60.1,236.3
19750711,1012110,0.7,539.5
19750712,1012110,0,248.2
19750713,1012110,0,141.2
19750714,1012110,0,102.7
19750715,1012110,111.6,230.6
19750716,1012110,28.7,1994.7
19750717,1012110,0,567.2
19750718,1012110,0,260.2
19750719,1012110,0,160.2
19750720,1012110,0,116
19750721,1012110,26.2,93.2
19750722,1012110,0,75.8
19750723,1012110,0,63.5
19750724,1012110,43.1,88.1
19750725,1012110,61.1,660
19750726,1012110,27.2,618.7
19750727,1012110,54.8,1157.1
19750728,1012110,64.5,1493.4
19750729,1012110,0.1,1089.4
19750730,1012110,0,415.8
19750731,1012110,2.4,236.8
19750801,1012110,22,187.1
19750802,1012110,19,201.6
19750803,1012110,0,154.5
19750804,1012110,0,113.8
19750805,1012110,0,86.9
19750806,1012110,19.9,89.7
19750807,1012110,2.1,76.1
19750808,1012110,0,61
19750809,1012110,0,50.4
19750810,1012110,0,45.6
19750811,1012110,0,40
19750812,1012110,0,27
19750813,1012110,0,28.3
19750814,1012110,32.5,98.5
19750815,1012110,18.2,47.4
19750816,1012110,3.4,62.4
19750817,1012110,0,47.6
19750818,1012110,0,308.3
19750819,1012110,0,253.6
19750820,1012110,0,116
19750821,1012110,5.6,73.2
19750822,1012110,0,67.4
19750823,1012110,0,39.4
19750824,1012110,0,33.5
19750825,1012110,0,34.8
19750826,1012110,0,22.7
19750827,1012110,0,24.5
19750828,1012110,0,27.8
19750829,1012110,15.8,20.3
19750830,1012110,1.5,31
19750831,1012110,4.7,32.5
19750901,1012110,1.9,30.1
19750902,1012110,2.2,49.5
19750903,1012110,38.5,102.5
19750904,1012110,78.7,213.5
19750905,1012110,0,184.8
19750906,1012110,0,145.1
19750907,1012110,25.1,151.7
19750908,1012110,0,144.5
19750909,1012110,0,89.3
19750910,1012110,0,65.3
19750911,1012110,5.8,55.3
19750912,1012110,0,52.1
19750913,1012110,0,43.9
19750914,1012110,18.5,47
19750915,1012110,22.8,162.3
19750916,1012110,2.9,575.5
19750917,1012110,0,359.2
19750918,1012110,0,203.2
19750919,1012110,0,145.8
19750920,1012110,3.5,150.8
19750921,1012110,0,206.4
19750922,1012110,0,134.2
19750923,1012110,0,101.1
19750924,1012110,0,81.5
19750925,1012110,0,72.3
19750926,1012110,0,61.2
19750927,1012110,0,54.7
19750928,1012110,0,41.5
19750929,1012110,0,40.7
19750930,1012110,0,23.2
19751001,1012110,0.4,31.1
19751002,1012110,3.2,39.1
19751003,1012110,2.2,32.7
19751004,1012110,6.6,57.5
19751005,1012110,0,25.8
19751006,1012110,0,26.9
19751007,1012110,0.7,24
19751008,1012110,0,31.6
19751009,1012110,0,24.2
19751010,1012110,0.1,21.2
19751011,1012110,10.4,26.2
19751012,1012110,0,23
19751013,1012110,0,21.6
19751014,1012110,0,23.7
19751015,1012110,0,10.7
19751016,1012110,0,17.6
19751017,1012110,0,15.1
19751018,1012110,0,15.4
19751019,1012110,0,14
19751020,1012110,0,14.5
19751021,1012110,0,11
19751022,1012110,0,10.4
19751023,1012110,0,11.2
19751024,1012110,0,11.6
